x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
1728.8423,82.30236,1787.3071,197.02731,0,0.38971394,,person
1583.4146,21.75987,1624.8253,122.08042,0,0.3896839,,person
455.68866,509.8395,515.9866,639.74347,0,0.32140532,,person
1853.0658,713.6993,1919.3002,854.0325,0,0.31658834,,person
388.17627,501.60974,460.09204,672.7996,0,0.30237612,,person
1388.1866,2.274519,1441.6934,182.8539,0,0.29936543,,person
165.70244,0.0,194.05962,46.532024,0,0.2906437,,person
1898.451,104.35039,1919.2482,200.60422,0,0.28998777,,person
157.70361,0.07123947,190.7758,48.362183,0,0.25063547,,person
1140.0546,918.4625,1242.1554,1080.0,0,0.8554175,,person
1455.4216,328.18488,1526.576,484.63925,0,0.8410719,,person
673.1633,619.79333,746.3703,798.041,0,0.7927834,,person
755.2294,430.38437,822.06305,585.63617,0,0.7365195,,person
1396.9227,703.2343,1509.8508,886.6518,0,0.7280501,,person
1202.6282,117.47733,1254.7623,249.95871,0,0.7248153,,person
40.256287,803.14984,143.54747,990.9201,14,0.7142654,,bird
250.09566,446.04474,326.67108,608.43274,0,0.7117885,,person
1794.9027,154.26736,1855.597,286.39563,0,0.6203591,,person
924.7914,181.95525,983.1874,319.03503,0,0.5963064,,person
799.6478,71.73303,841.79504,197.04272,0,0.58702683,,person
1090.9729,50.363953,1135.7257,157.0184,0,0.57238156,,person
215.43427,32.38456,267.9003,147.04568,0,0.5710014,,person
1619.5726,17.49912,1658.495,127.87958,0,0.5673749,,person
1469.2126,489.00037,1548.3695,649.94696,0,0.5598823,,person
1675.805,10.684479,1735.2396,142.1619,0,0.545678,,person
711.1282,223.6777,766.51227,370.90897,0,0.49833426,,person
87.67592,129.70047,143.69017,251.31372,0,0.49272862,,person
1169.5353,143.82802,1212.1252,271.23544,0,0.48993316,,person
853.4002,67.42779,892.6536,192.96713,0,0.48252377,,person
353.1074,1.852478,418.83044,132.52292,0,0.48104328,,person
1689.672,168.1045,1763.4115,304.9488,0,0.47804415,,person
896.6188,87.42334,941.41864,204.10986,0,0.45430925,,person
724.834,0.0,765.6342,96.02007,0,0.44763812,,person
572.1597,206.96288,621.7196,298.34503,0,0.43933648,,person
1852.8627,705.78296,1919.3003,878.48016,0,0.43063438,,person
570.7428,285.60278,633.012,415.6831,0,0.42942822,,person
1585.8398,20.641617,1626.0688,122.40081,0,0.421031,,person
344.64816,492.67404,399.99097,638.26996,0,0.41804445,,person
1387.4067,1.6974335,1442.8745,182.5801,0,0.4031853,,person
1137.5459,485.63654,1212.1317,623.2187,0,0.39460307,,person
1299.2081,5.5461273,1344.5933,106.29728,0,0.388139,,person
1729.7161,83.50781,1786.8062,200.76967,0,0.35642245,,person
983.87054,107.089424,1041.1616,247.34967,0,0.34954503,,person
452.13556,510.56387,516.3055,638.81934,0,0.33356568,,person
1137.812,486.44165,1212.207,624.4673,14,0.3311113,,bird
166.06137,0.0,193.39577,44.254486,0,0.33098304,,person
386.6501,497.95724,457.8446,671.7289,0,0.3270406,,person
1898.4016,105.07086,1919.2698,200.21535,0,0.2854572,,person
159.01349,0.7173071,189.45473,46.43368,0,0.2519567,,person
1456.9138,331.09918,1527.5508,488.04318,0,0.8521091,,person
1140.1975,911.0286,1243.6298,1080.0,0,0.8420062,,person
674.24744,614.62756,746.8859,794.5512,0,0.80853397,,person
1202.8892,116.51546,1254.6205,249.83803,0,0.7648229,,person
755.5963,426.566,818.78253,582.0767,0,0.72783333,,person
41.456074,803.5859,143.9588,990.40454,14,0.7093376,,bird
249.36713,451.94165,325.73145,618.09503,0,0.7059422,,person
1136.5327,482.92804,1211.8357,620.64886,14,0.66946846,,bird
1395.3333,708.15564,1507.4213,887.58215,0,0.66272265,,person
1792.7542,155.11351,1858.53,289.19537,0,0.61658335,,person
1678.7552,14.449459,1734.5566,144.70857,0,0.6009959,,person
1091.2009,51.464943,1136.7708,158.7329,0,0.5922868,,person
926.2554,184.37471,980.86566,322.2647,0,0.5859345,,person
799.6082,71.77682,840.7128,195.42651,0,0.5807028,,person
723.4194,0.0,766.7676,94.483894,0,0.577386,,person
1620.4398,18.06577,1659.123,128.16658,0,0.57173336,,person
710.74347,222.74597,767.7393,369.93872,0,0.55039424,,person
1693.4509,161.5287,1766.6426,308.27353,0,0.54883665,,person
88.37892,129.51143,143.82504,250.98973,0,0.52841353,,person
344.4159,492.79962,399.5995,637.4176,0,0.5237632,,person
1387.3452,1.2585754,1443.504,182.22272,0,0.5195345,,person
1170.2216,143.15456,1212.2673,266.47424,0,0.51494557,,person
216.04926,31.94553,270.6924,147.75522,0,0.5077678,,person
1469.3566,487.58414,1547.7026,648.6556,0,0.488214,,person
853.0278,65.75693,892.8411,192.82681,0,0.48056465,,person
1850.9506,663.5928,1919.5199,861.7715,0,0.47302094,,person
1585.2195,20.397514,1627.1206,122.169525,0,0.4725935,,person
358.2766,0.72257996,419.058,129.43173,0,0.4721481,,person
1299.0248,4.782463,1344.3848,105.86538,0,0.4563,,person
899.5988,88.08357,943.13544,204.76167,0,0.4319809,,person
571.2039,283.08374,632.1006,414.15796,0,0.4236325,,person
167.10088,0.0,192.24738,40.712612,0,0.38019028,,person
388.39948,498.06345,458.49573,671.65894,0,0.36234337,,person
1728.3962,82.500755,1786.7662,186.47113,0,0.36147362,,person
451.51556,510.00247,516.1987,638.9493,0,0.3552938,,person
572.68097,208.48308,621.4078,300.25888,0,0.34981668,,person
984.0174,111.037605,1042.6104,249.77089,0,0.3168028,,person
1898.554,105.929924,1919.2848,200.73514,0,0.27395976,,person
674.54156,607.3669,747.226,794.07025,0,0.832939,,person
1457.6443,336.33984,1529.5693,491.67178,0,0.8101067,,person
1139.0837,477.45798,1212.4163,615.35406,14,0.769524,,bird
1852.7323,659.36975,1919.2113,841.6672,0,0.7542547,,person
246.23506,458.02032,325.8689,632.167,0,0.75324905,,person
1138.9052,901.1842,1240.6246,1080.0,0,0.7443148,,person
1394.3342,707.43805,1502.9513,888.4649,0,0.67075306,,person
1792.3759,155.81151,1861.7054,288.62082,0,0.6705346,,person
925.03973,188.9599,981.61475,323.2404,0,0.64269745,,person
1202.0172,113.72969,1253.8165,254.05504,0,0.63245565,,person
756.65466,423.1703,814.9871,576.939,0,0.62642974,,person
709.0351,218.08511,768.36566,369.93338,0,0.6235053,,person
1621.4546,16.588823,1660.0928,127.269264,0,0.6056461,,person
1090.935,52.583908,1137.5409,158.61023,0,0.59919685,,person
1678.392,13.280045,1734.839,143.44489,0,0.5794693,,person
1472.9132,489.72263,1552.5026,647.90265,0,0.5749237,,person
44.717514,807.88794,143.70186,990.9632,14,0.5574845,,bird
222.79346,30.473677,280.54367,145.8774,0,0.55594605,,person
91.52143,127.45001,144.54552,249.12946,0,0.5322702,,person
799.48627,72.610886,839.8167,192.4682,0,0.515487,,person
722.8444,0.0,768.03723,92.38012,0,0.51522046,,person
1693.5707,89.088875,1784.9048,305.31326,0,0.507341,,person
901.4288,81.21277,943.64264,203.07889,0,0.5030796,,person
1387.3748,1.1010361,1444.1733,181.84822,0,0.49671468,,person
1588.5681,19.153141,1626.9587,122.80136,0,0.4942797,,person
853.36145,64.35505,891.7169,192.67787,0,0.47653013,,person
1300.84,4.1885147,1343.9675,106.02791,0,0.4628672,,person
1696.8945,152.70407,1769.0853,306.31906,0,0.46220833,,person
344.49033,491.88043,398.88922,637.0609,0,0.45143303,,person
571.12085,278.14978,632.29565,413.15295,0,0.4408358,,person
1170.6361,140.38786,1214.8451,263.9394,0,0.44040367,,person
365.0053,1.0094318,420.6659,127.31957,0,0.36958075,,person
169.48503,0.0,192.90555,36.618702,0,0.3616228,,person
984.7802,111.65032,1044.054,253.29347,0,0.35649478,,person
387.11343,509.3203,458.84042,670.2948,0,0.33227897,,person
1899.5065,105.36916,1919.2548,198.79716,0,0.296839,,person
451.72668,509.60623,515.7266,638.46497,0,0.293809,,person
42.393528,806.46906,143.64923,989.1849,0,0.2727468,,person
1139.9647,476.3964,1214.0134,612.9449,14,0.8701662,,bird
674.8305,604.1712,747.7985,794.9929,0,0.80820006,,person
1461.5742,339.88696,1532.209,502.87766,0,0.7594779,,person
246.58887,462.66028,327.05557,637.5998,0,0.74570835,,person
1850.4371,649.5465,1919.5338,842.1614,0,0.7058573,,person
1137.6611,894.8921,1238.9502,1080.0,0,0.68580055,,person
1394.4332,708.0685,1498.6278,889.1477,0,0.6433427,,person
757.1746,421.06607,814.2669,576.81165,0,0.6298921,,person
1793.2365,156.13678,1862.4803,286.78052,0,0.6131989,,person
1621.366,17.212784,1661.0735,127.538635,0,0.59949267,,person
1473.5427,492.4551,1553.6152,659.40515,0,0.5959654,,person
1091.2064,53.086052,1137.6218,158.17708,0,0.58391696,,person
1676.5653,12.054462,1735.8245,147.4438,0,0.58290863,,person
226.92746,30.36438,285.79883,145.82718,0,0.5812703,,person
709.20294,217.91995,767.6713,366.8216,0,0.56959283,,person
722.5642,0.0,768.9624,92.66989,0,0.5645466,,person
925.72266,188.69188,979.5791,324.047,0,0.55357766,,person
799.7366,71.89121,839.5675,192.20975,0,0.5277564,,person
92.75679,127.22786,144.17268,249.13454,0,0.52528036,,person
1206.263,114.634766,1252.4014,252.16328,0,0.5125381,,person
571.72064,280.1011,631.6705,413.98892,0,0.4953781,,person
1171.7904,139.60872,1218.9558,258.66516,0,0.48369762,,person
1590.2856,18.942295,1628.4741,124.03675,0,0.4800163,,person
853.394,64.30396,890.9196,192.61102,0,0.47462675,,person
902.0363,81.289536,943.2757,200.66519,0,0.45975968,,person
1387.6847,0.9719467,1443.363,181.39629,0,0.44153914,,person
